#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/tmp2qklu2nu/tmpwhpq5f0j -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/P21158_94_S15_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/P21158_94_S15_metaphlan_bowtie2.txt --nproc 12
#60037381 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB24760|s__GGB24760_SGB46578	2|200918|188708|2419|1643950||	1.35959	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821|s__GGB42821_SGB52415	2|203691|||||	1.25891	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum|s__Methanospirillum_hungatei	2157|28890|224756|2191|196137|2202|2203	1.13906	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB34841|s__GGB34841_SGB46577	2|200918|188708|2419|1643950||	0.94354	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	2|976|200643|171549|171550|239759|328813	0.88232	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821|s__GGB42821_SGB60031	2|203691|||||	0.79604	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946|f__FGB8946|g__GGB26731|s__GGB26731_SGB83492	2|1224|||||	0.76006	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452|f__FGB43452|g__GGB25803|s__GGB25803_SGB37788	2|1224|||||	0.4523	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734|f__FGB41734|g__GGB45669|s__GGB45669_SGB63385	2|1134404|||||	0.41993	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982|f__FGB8982|g__GGB58357|s__GGB58357_SGB80008	2|203691|||||	0.40175	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642|g__GGB9758|s__GGB9758_SGB15368	2|1239|||||	0.37776	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2|976|200643|171549|815|816|820	0.30231	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234|f__FGB42234|g__GGB42235|s__GGB42235_SGB59393	2|68297|||||	0.28794	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB3345|s__GGB3345_SGB9340	2|1239|186801|186802|216572||	0.28372	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__GGB35116|s__GGB35116_SGB79359	2|976|200643|171549|2760872||	0.21593	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	2|976|200643|171549|171550|239759|28117	0.20859	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_dorei	2|976|200643|171549|815|909656|357276	0.19754	
k__Bacteria|p__Firmicutes|c__CFGB27080|o__OFGB27080|f__FGB27080|g__GGB27082|s__GGB27082_SGB39291	2|1239|||||	0.17574	
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783|g__GGB80011|s__GGB80011_SGB15265	2|1239|||||	0.13405	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063|f__FGB8063|g__GGB24947|s__GGB24947_SGB36860	2|1239|||||	0.11994	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__GGB24759|s__GGB24759_SGB24698	2|200918|188708|1643946|1643948||	0.11138	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium|s__Acetomicrobium_SGB48802	2|508458|649775|649776|649777|49894|	0.10624	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9713|s__GGB9713_SGB15249	2|1239|186801|186802|216572||	0.09705	
