0.0509	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	Romboutsia_timonensis	SGB6148
0.00256	Bacteria	Firmicutes	Clostridia	Thermosediminibacterales	Tepidanaerobacteraceae	Tepidanaerobacter	Tepidanaerobacter_acetatoxydans	SGB7312
0.15739	Bacteria	Firmicutes	Clostridia	Thermosediminibacterales	Tepidanaerobacteraceae	Tepidanaerobacter	Tepidanaerobacter_syntrophicus	SGB7313
0.00405	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	Turicibacter_bilis	SGB6847
0.00035	Bacteria	Firmicutes	Tissierellia	Tissierellales	Tissierellaceae	Sporanaerobacter	Sporanaerobacter_acetigenes	SGB6093
0.00181	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sebaldella	Sebaldella_termitidis	SGB6075
2.32461	Bacteria	Ignavibacteriae	CFGB41734	OFGB41734	FGB41734	GGB45669	GGB45669_SGB63385	SGB63385
0.01042	Bacteria	Kiritimatiellaeota	CFGB30752	OFGB30752	FGB30752	GGB73294	GGB73294_SGB53331	SGB53331
0.00029	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_sp_ND1	SGB9016
1.28036	Bacteria	Planctomycetes	CFGB45191	OFGB45191	FGB45191	GGB45191	GGB45191_SGB62707	SGB62707
0.12827	Bacteria	Planctomycetes	CFGB45746	OFGB45746	FGB45746	GGB62382	GGB62382_SGB84554	SGB84554
0.35146	Bacteria	Planctomycetes	CFGB45746	OFGB45746	FGB45746	GGB62383	GGB62383_SGB84555	SGB84555
0.01133	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas_aveniformis	SGB31780
0.00015	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium_denitrificans	SGB24583
0.00279	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Pleomorphomonadaceae	Pleomorphomonas	Pleomorphomonas_koreensis	SGB31881
0.00012	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobiaceae_unclassified	Rhizobiaceae_bacterium	SGB94123
0.00831	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Shinella	Shinella_zoogloeoides	SGB89609
0.00062	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	Amaricoccus_macauensis	SGB90433
0.00048	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_lutimaris	SGB24230
