#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/tmptixv0n6k/tmpgrqmf_cb -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bowtie2.txt --nproc 12
#119461023 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB23620|o__OFGB23620	2|95818||	0.00058	
k__Bacteria|p__Actinobacteria|c__CFGB23051|o__OFGB23051	2|201174||	0.00046	
k__Bacteria|p__Bacteroidetes|c__CFGB7739|o__OFGB7739	2|976||	0.00045	
k__Bacteria|p__Firmicutes|c__CFGB11619|o__OFGB11619	2|1239||	0.00044	
k__Bacteria|p__Proteobacteria|c__CFGB75967|o__OFGB75967	2|1224||	0.00041	
k__Archaea|p__Crenarchaeota|c__Crenarchaeota_unclassified|o__Crenarchaeota_unclassified	2157|28889||	0.00038	
k__Bacteria|p__Firmicutes|c__CFGB26775|o__OFGB26775	2|1239||	0.00036	
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.00035	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.0003	
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	2|40117|203693|189778	0.00029	
k__Bacteria|p__Bacteroidetes|c__CFGB41867|o__OFGB41867	2|976||	0.00023	
k__Bacteria|p__Firmicutes|c__CFGB8972|o__OFGB8972	2|1239||	0.00022	
k__Bacteria|p__Proteobacteria|c__CFGB6783|o__OFGB6783	2|1224||	0.00017	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.00016	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified	2|456828|||	24.46809	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821	2|203691|||	12.87434	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae	2|201174|1760|85006|85021	7.76914	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae	2|200918|188708|2419|1643950	6.19612	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae	2157|28890|224756|2191|2194	4.8208	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452|f__FGB43452	2|1224|||	4.44051	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946|f__FGB8946	2|1224|||	3.70788	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348|o__OFGB7348|f__FGB7348	2|95818|||	3.39843	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012|f__FGB36012	2|976|||	2.66682	
k__Bacteria|p__Actinobacteria|c__CFGB76414|o__OFGB76414|f__FGB76414	2|201174|||	2.42816	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734|f__FGB41734	2|1134404|||	2.32461	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982|f__FGB8982	2|203691|||	2.04702	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae	2|976|200643|171549|2760872	1.75683	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae	2|976|200643|171549|2005520	1.57747	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2|1224|28216|80840|80864	1.55878	
k__Bacteria|p__Firmicutes|c__CFGB27080|o__OFGB27080|f__FGB27080	2|1239|||	1.34018	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191|f__FGB45191	2|203682|||	1.28036	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae	2157|28890|224756|2905377|143067	1.25532	
