#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/tmp9uqp8scc/tmpsw7y76lt -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/VReal-3A_S10_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/VReal-3A_S10_metaphlan_bowtie2.txt --nproc 12
#130113000 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982	2|203691||	0.03874	
k__Bacteria|p__Bacteroidetes|c__CFGB72604|o__OFGB72604	2|976||	0.03853	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2|1224|28216|206389	0.03535	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2|1224|1236|135614	0.03252	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897	2|67818||	0.031	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.02936	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348|o__OFGB7348	2|95818||	0.02704	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.02635	
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	2|200795|292625|292629	0.02562	
k__Bacteria|p__Proteobacteria|c__CFGB75967|o__OFGB75967	2|1224||	0.02463	
k__Bacteria|p__Firmicutes|c__CFGB76577|o__OFGB76577	2|1239||	0.01846	
k__Bacteria|p__Proteobacteria|c__CFGB14846|o__OFGB14846	2|1224||	0.01833	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.01709	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.01684	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB42739|o__OFGB42739	2|95818||	0.01584	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.01516	
k__Bacteria|p__Chloroflexi|c__CFGB24537|o__OFGB24537	2|200795||	0.01477	
k__Bacteria|p__Verrucomicrobia|c__CFGB45184|o__OFGB45184	2|74201||	0.01441	
k__Bacteria|p__Bacteroidetes|c__CFGB41865|o__OFGB41865	2|976||	0.01419	
k__Bacteria|p__Ignavibacteriae|c__CFGB24900|o__OFGB24900	2|1134404||	0.01383	
k__Bacteria|p__Acidobacteria|c__CFGB41474|o__OFGB41474	2|57723||	0.01373	
k__Bacteria|p__Proteobacteria|c__CFGB76416|o__OFGB76416	2|1224||	0.01314	
k__Bacteria|p__Firmicutes|c__CFGB8972|o__OFGB8972	2|1239||	0.01067	
k__Bacteria|p__Proteobacteria|c__CFGB26025|o__OFGB26025	2|1224||	0.0087	
k__Bacteria|p__Gemmatimonadetes|c__CFGB73260|o__OFGB73260	2|142182||	0.00829	
k__Bacteria|p__Acidobacteria|c__CFGB41084|o__OFGB41084	2|57723||	0.00805	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2|1224|28216|32003	0.00695	
k__Bacteria|p__Proteobacteria|c__CFGB8514|o__OFGB8514	2|1224||	0.00695	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.00685	
k__Bacteria|p__Synergistetes|c__CFGB15867|o__OFGB15867	2|508458||	0.00621	
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Aggregatilineales	2|200795|292625|2806304	0.00588	
k__Bacteria|p__Candidatus_Hydrogenedentes|c__CFGB40658|o__OFGB40658	2|142187||	0.00581	
k__Bacteria|p__Bacteroidetes|c__CFGB76561|o__OFGB76561	2|976||	0.00557	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234	2|68297||	0.00472	
k__Bacteria|p__Firmicutes|c__CFGB9195|o__OFGB9195	2|1239||	0.00436	
k__Bacteria|p__Actinobacteria|c__CFGB23051|o__OFGB23051	2|201174||	0.0042	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	2|1224|28221|2914038	0.00411	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.00377	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales	2|200918|188708|1643946	0.00299	
k__Bacteria|p__Actinobacteria|c__CFGB76411|o__OFGB76411	2|201174||	0.00269	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.00249	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.00247	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	2|57723|204432|332160	0.00214	
k__Bacteria|p__Proteobacteria|c__CFGB6783|o__OFGB6783	2|1224||	0.00208	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	0.00176	
k__Bacteria|p__Bacteroidetes|c__CFGB7726|o__OFGB7726	2|976||	0.00141	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.00126	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	0.00124	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.00118	
k__Bacteria|p__Actinobacteria|c__CFGB76413|o__OFGB76413	2|201174||	0.00103	
k__Bacteria|p__Bacteroidetes|c__CFGB8910|o__OFGB8910	2|976||	0.00097	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76452|o__OFGB76452	2|||	0.00092	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB42551|o__OFGB42551	2|1798710||	0.00085	
k__Bacteria|p__Firmicutes|c__CFGB76282|o__OFGB76282	2|1239||	0.00075	
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineae_unclassified	2|200795|292625|	0.0003	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191	2|203682||	0.00023	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	0.00019	
k__Bacteria|p__Candidatus_Omnitrophica|c__CFGB40939|o__OFGB40939	2|67812||	0.00016	
